,file,emotion,audio,source
0,./raw_source/RAVDESS/Actor_16/03-01-05-01-02-01-16.wav,angry,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -8.1456150e-05
 -3.5299374e-05  0.0000000e+00]",ravdess
1,./raw_source/RAVDESS/Actor_16/03-01-06-01-02-02-16.wav,fear,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -3.7505772e-06
  7.7417353e-06  0.0000000e+00]",ravdess
2,./raw_source/RAVDESS/Actor_16/03-01-06-02-01-02-16.wav,fear,"[ 3.0036153e-05  2.7443759e-05  9.8903274e-07 ... -1.1224319e-05
 -1.7981063e-05  0.0000000e+00]",ravdess
3,./raw_source/RAVDESS/Actor_16/03-01-05-02-01-01-16.wav,angry,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.0203025e-05
 -1.3484111e-05  0.0000000e+00]",ravdess
4,./raw_source/RAVDESS/Actor_16/03-01-07-01-01-01-16.wav,disgust,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -6.2484395e-07
  1.4322423e-07  0.0000000e+00]",ravdess
5,./raw_source/RAVDESS/Actor_16/03-01-04-01-01-02-16.wav,sad,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.8676131e-09 4.9077755e-09
 0.0000000e+00]",ravdess
6,./raw_source/RAVDESS/Actor_16/03-01-04-02-02-02-16.wav,sad,"[-2.9270122e-06  4.7373724e-06  1.0459749e-05 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",ravdess
7,./raw_source/RAVDESS/Actor_16/03-01-07-02-02-01-16.wav,disgust,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -2.9567454e-05
  2.6943101e-06  0.0000000e+00]",ravdess
8,./raw_source/RAVDESS/Actor_16/03-01-08-02-02-01-16.wav,surprised,"[ 7.4474977e-09 -3.6920069e-09 -1.7694524e-09 ...  1.7177777e-09
 -1.3001107e-09  0.0000000e+00]",ravdess
9,./raw_source/RAVDESS/Actor_16/03-01-08-01-01-01-16.wav,surprised,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -2.9869720e-06
  6.6106177e-06  0.0000000e+00]",ravdess
10,./raw_source/RAVDESS/Actor_16/03-01-03-02-02-02-16.wav,happy,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.0480491e-08
 -1.0120676e-08  0.0000000e+00]",ravdess
11,./raw_source/RAVDESS/Actor_16/03-01-03-01-01-02-16.wav,happy,"[-1.3165257e-05 -8.9564452e-07  9.1949454e-07 ... -8.0967846e-09
  5.4641260e-09  0.0000000e+00]",ravdess
13,./raw_source/RAVDESS/Actor_16/03-01-01-01-02-02-16.wav,neutral,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -3.4905647e-06
 -4.4564182e-05  0.0000000e+00]",ravdess
15,./raw_source/RAVDESS/Actor_16/03-01-03-02-01-01-16.wav,happy,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.7752620e-07 1.0969114e-05
 0.0000000e+00]",ravdess
16,./raw_source/RAVDESS/Actor_16/03-01-03-01-02-01-16.wav,happy,"[ 1.5614663e-05  1.3804451e-05 -1.9015915e-06 ...  3.8857532e-08
 -3.7665945e-08  0.0000000e+00]",ravdess
19,./raw_source/RAVDESS/Actor_16/03-01-01-01-01-01-16.wav,neutral,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  3.8535234e-07
 -2.9829107e-07  0.0000000e+00]",ravdess
20,./raw_source/RAVDESS/Actor_16/03-01-06-01-01-01-16.wav,fear,"[ 1.1812286e-05  2.7926912e-06 -4.6966820e-06 ...  1.2253681e-05
  4.0724932e-05  0.0000000e+00]",ravdess
21,./raw_source/RAVDESS/Actor_16/03-01-05-01-01-02-16.wav,angry,"[ 3.7439131e-05  8.3553168e-06 -3.0173719e-06 ... -2.5724016e-06
  1.2112387e-05  0.0000000e+00]",ravdess
22,./raw_source/RAVDESS/Actor_16/03-01-05-02-02-02-16.wav,angry,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -3.3238364e-05
 -1.4833636e-05  0.0000000e+00]",ravdess
23,./raw_source/RAVDESS/Actor_16/03-01-06-02-02-01-16.wav,fear,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -2.1701185e-06
  2.6182327e-06  0.0000000e+00]",ravdess
24,./raw_source/RAVDESS/Actor_16/03-01-04-01-02-01-16.wav,sad,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  4.6312916e-08
 -2.7663509e-08  0.0000000e+00]",ravdess
25,./raw_source/RAVDESS/Actor_16/03-01-07-01-02-02-16.wav,disgust,"[0.000000e+00 0.000000e+00 0.000000e+00 ... 5.910415e-05 4.711750e-05
 0.000000e+00]",ravdess
26,./raw_source/RAVDESS/Actor_16/03-01-07-02-01-02-16.wav,disgust,"[ 0.          0.          0.         ... -0.00050845 -0.00058109
  0.        ]",ravdess
27,./raw_source/RAVDESS/Actor_16/03-01-04-02-01-01-16.wav,sad,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -3.8617331e-06
  2.2478548e-06  0.0000000e+00]",ravdess
28,./raw_source/RAVDESS/Actor_16/03-01-08-02-01-02-16.wav,surprised,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -5.2214882e-10
  3.2479552e-10  0.0000000e+00]",ravdess
29,./raw_source/RAVDESS/Actor_16/03-01-08-01-02-02-16.wav,surprised,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.8386938e-06
 -7.6317529e-06  0.0000000e+00]",ravdess
