,Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,HouseAge,Remodel_Age,is_Remodeled,Total_SF
0,109,533352170,60,6.0,79.0,13517,2,3,2.0,3,5.0,3,9.0,3.0,5.0,4.0,7.0,6,8,1976,2005,3.0,1.0,9.0,11.0,3.0,289.0,4,3,4.0,3,3,0,6,533.0,1,0.0,192.0,725.0,5.0,5,1,5,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,8,0,0,6.0,1976.0,2,2.0,475.0,3,3,2,0,44,0,0,0,0,0,3,2010,6.0,130500,34,29,0,2204.0
1,544,531379050,60,6.0,43.0,11492,2,3,2.0,3,5.0,3,15.0,6.0,5.0,4.0,7.0,7,5,1996,1997,3.0,1.0,13.0,14.0,3.0,132.0,4,3,6.0,4,3,0,6,637.0,1,0.0,276.0,913.0,5.0,5,1,5,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,8,1,3,6.0,1997.0,2,2.0,559.0,3,3,2,0,74,0,0,0,0,0,4,2009,6.0,220000,13,1,1,3035.0
2,153,535304180,20,6.0,68.0,7922,2,4,2.0,3,1.0,3,12.0,6.0,5.0,4.0,5.0,5,7,1953,2007,3.0,1.0,13.0,14.0,2.0,0.0,3,4,4.0,3,3,0,6,731.0,1,0.0,326.0,1057.0,5.0,3,1,5,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,8,0,0,3.0,1953.0,1,1.0,246.0,3,3,2,0,52,0,0,0,0,0,1,2010,6.0,109000,57,54,0,2114.0
3,318,916386060,60,6.0,73.0,9802,2,4,2.0,3,1.0,3,23.0,6.0,5.0,4.0,7.0,5,5,2006,2007,3.0,1.0,13.0,14.0,2.0,0.0,3,3,6.0,4,3,0,1,0.0,1,0.0,384.0,384.0,5.0,4,1,5,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,8,0,0,7.0,2007.0,3,2.0,400.0,3,3,2,100,0,0,0,0,0,0,4,2010,6.0,174000,4,1,1,1828.0
4,255,906425045,50,6.0,82.0,14235,2,3,2.0,3,1.0,3,15.0,6.0,5.0,4.0,2.0,6,8,1900,1993,3.0,1.0,6.0,11.0,2.0,0.0,3,3,6.0,2,4,0,1,0.0,1,0.0,676.0,676.0,5.0,3,1,5,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,8,0,0,3.0,1957.0,1,2.0,484.0,3,3,0,0,59,0,0,0,0,0,3,2010,6.0,138500,110,93,0,2121.0
5,138,535126040,20,6.0,137.0,16492,2,3,2.0,3,3.0,3,12.0,9.0,5.0,4.0,5.0,6,6,1966,2002,3.0,1.0,11.0,11.0,2.0,0.0,4,3,4.0,3,3,0,5,247.0,3,713.0,557.0,1517.0,5.0,5,1,5,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,5,1,4,6.0,1966.0,3,2.0,578.0,3,3,2,0,0,0,0,0,0,0,6,2010,6.0,190000,44,36,0,3405.0
6,2827,908186070,180,4.0,35.0,3675,2,4,2.0,3,1.0,3,6.0,6.0,5.0,5.0,3.0,6,5,2005,2006,3.0,1.0,13.0,14.0,3.0,82.0,3,3,6.0,4,3,4,6,547.0,1,0.0,0.0,547.0,5.0,4,1,5,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,8,0,0,4.0,2005.0,3,2.0,525.0,3,3,2,0,44,0,0,0,0,0,6,2006,8.0,140000,1,1,1,1619.0
7,145,535154050,20,6.0,75.0,12160,2,3,2.0,3,1.0,3,12.0,6.0,5.0,4.0,5.0,5,5,1959,1959,4.0,1.0,10.0,11.0,3.0,180.0,3,3,4.0,3,3,0,3,1000.0,1,0.0,188.0,1188.0,5.0,2,1,5,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,8,0,0,6.0,1959.0,2,2.0,531.0,3,3,2,0,0,0,0,0,0,0,5,2010,4.0,142000,51,0,0,2376.0
8,1942,535353130,20,6.0,85.0,15783,2,4,2.0,3,1.0,3,4.0,1.0,5.0,4.0,5.0,5,5,1952,1952,3.0,1.0,6.0,5.0,2.0,0.0,3,3,4.0,3,3,0,3,292.0,1,0.0,632.0,924.0,5.0,3,1,5,924,0,0,924,0.0,0.0,1,0,2,1,3,6,8,0,0,3.0,1952.0,1,1.0,420.0,3,3,2,0,324,0,0,0,0,400,6,2007,6.0,112500,55,0,0,1848.0
9,1956,535426130,60,6.0,70.0,11606,2,3,4.0,3,1.0,1,12.0,6.0,5.0,4.0,7.0,5,5,1969,1969,3.0,1.0,10.0,11.0,3.0,192.0,3,3,6.0,4,3,3,3,650.0,1,0.0,390.0,1040.0,5.0,3,1,5,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,8,2,3,6.0,1969.0,1,2.0,504.0,3,3,2,335,0,0,0,0,0,0,9,2007,6.0,135000,38,0,0,3120.0
10,1044,527451290,160,4.0,21.0,1680,2,4,2.0,3,1.0,3,3.0,6.0,5.0,2.0,7.0,6,5,1971,1971,3.0,1.0,9.0,10.0,3.0,232.0,3,3,4.0,3,3,0,5,387.0,1,0.0,96.0,483.0,5.0,3,1,5,483,504,0,987,0.0,0.0,1,1,2,1,3,4,8,0,0,3.0,1971.0,1,1.0,264.0,3,3,2,0,0,0,0,0,0,0,7,2008,4.0,85400,37,0,0,1470.0
11,2752,906380150,20,6.0,64.0,7488,2,3,2.0,3,1.0,3,18.0,6.0,5.0,4.0,5.0,7,5,2005,2005,3.0,1.0,13.0,14.0,2.0,0.0,4,3,6.0,4,3,3,6,393.0,1,0.0,815.0,1208.0,5.0,5,1,5,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,8,0,0,6.0,2005.0,2,2.0,632.0,3,3,2,105,58,0,0,0,0,0,2,2006,6.0,183600,1,0,0,2416.0
12,807,906226060,70,6.0,120.0,26400,2,4,1.0,3,2.0,3,15.0,4.0,5.0,4.0,7.0,5,7,1880,2007,3.0,1.0,9.0,10.0,2.0,0.0,4,3,6.0,0,0,0,0,0.0,0,0.0,0.0,0.0,5.0,5,1,5,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,5,1,3,6.0,1900.0,1,2.0,576.0,3,3,1,0,0,0,0,0,0,0,6,2009,6.0,131000,129,127,0,2016.0
13,1177,533236070,160,7.0,24.0,2645,2,4,2.0,3,1.0,3,22.0,6.0,5.0,2.0,7.0,8,5,1999,2000,3.0,1.0,7.0,9.0,3.0,456.0,4,3,6.0,4,3,0,6,813.0,1,0.0,147.0,960.0,5.0,5,1,5,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,8,0,0,3.0,2000.0,1,2.0,480.0,3,3,2,169,0,0,0,0,0,0,12,2008,3.0,200000,9,1,1,2567.0
14,1480,907418040,20,6.0,74.0,9627,2,4,2.0,3,1.0,3,18.0,6.0,5.0,4.0,5.0,7,5,2007,2007,3.0,1.0,13.0,14.0,2.0,0.0,4,3,6.0,4,3,3,6,24.0,1,0.0,1327.0,1351.0,5.0,5,1,5,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,8,0,0,6.0,2007.0,2,2.0,610.0,3,3,2,0,50,0,0,0,0,0,6,2008,6.0,193000,1,0,0,2712.0
15,324,923202105,20,6.0,93.0,10114,2,4,2.0,3,1.0,3,13.0,6.0,5.0,4.0,5.0,5,5,2004,2005,3.0,1.0,13.0,14.0,2.0,0.0,3,3,6.0,5,3,3,1,0.0,1,0.0,1430.0,1430.0,5.0,5,1,5,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,8,0,0,6.0,2004.0,2,2.0,624.0,3,3,2,0,0,0,0,0,0,0,3,2010,6.0,173500,6,1,1,2860.0
16,1311,902301140,70,4.0,34.0,4571,2,4,2.0,3,1.0,3,4.0,6.0,5.0,4.0,7.0,5,5,1916,1950,3.0,1.0,3.0,2.0,2.0,0.0,3,3,2.0,3,3,0,1,0.0,1,0.0,624.0,624.0,5.0,2,0,5,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,8,0,0,3.0,1916.0,1,3.0,513.0,2,2,2,0,0,96,0,0,0,0,5,2008,4.0,98000,92,34,0,1968.0
17,770,905101490,20,6.0,80.0,8816,2,4,2.0,3,3.0,3,9.0,4.0,5.0,4.0,5.0,5,6,1963,1963,3.0,1.0,13.0,14.0,2.0,0.0,3,3,6.0,3,3,0,3,651.0,1,0.0,470.0,1121.0,5.0,3,1,5,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,8,0,0,3.0,1963.0,1,2.0,480.0,3,3,2,0,80,0,0,0,0,0,6,2009,6.0,139000,46,0,0,2242.0
18,2063,905107140,20,6.0,71.0,8197,2,4,2.0,3,1.0,3,9.0,6.0,5.0,4.0,5.0,6,5,1977,1977,3.0,1.0,10.0,11.0,3.0,148.0,3,3,4.0,3,3,0,1,0.0,1,0.0,660.0,660.0,5.0,5,1,5,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,8,1,3,6.0,1977.0,2,2.0,528.0,3,3,2,138,0,0,0,0,0,0,4,2007,6.0,143500,30,0,0,1945.0
19,69,528458070,60,7.0,72.0,8640,2,4,2.0,3,1.0,3,22.0,6.0,5.0,4.0,7.0,7,5,2009,2009,3.0,1.0,13.0,14.0,2.0,0.0,3,3,6.0,4,3,2,6,24.0,1,0.0,732.0,756.0,5.0,5,1,5,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,8,0,0,6.0,2009.0,1,2.0,614.0,3,3,2,169,45,0,0,0,0,0,6,2010,9.0,215200,1,0,0,2303.0
20,2062,905106150,20,6.0,109.0,8724,2,4,2.0,3,1.0,3,9.0,6.0,5.0,4.0,5.0,5,5,1968,1968,3.0,1.0,13.0,14.0,2.0,0.0,3,3,4.0,4,3,0,4,492.0,1,0.0,402.0,894.0,5.0,4,1,5,894,0,0,894,0.0,0.0,1,0,3,1,3,5,8,1,1,6.0,1968.0,3,2.0,450.0,3,3,2,0,0,0,0,0,0,0,5,2007,6.0,129000,39,0,0,1788.0
21,351,527131030,120,6.0,40.0,5664,2,3,2.0,3,1.0,3,24.0,6.0,5.0,5.0,5.0,8,5,2000,2000,3.0,1.0,12.0,13.0,2.0,0.0,4,3,6.0,4,3,0,6,1158.0,1,0.0,343.0,1501.0,5.0,5,1,5,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,8,1,5,6.0,2000.0,3,2.0,499.0,3,3,2,212,59,0,0,0,0,0,10,2009,6.0,278000,9,0,0,3160.0
22,12,527165230,20,6.0,64.0,7980,2,3,2.0,3,1.0,3,14.0,6.0,5.0,4.0,5.0,6,7,1992,2007,3.0,1.0,9.0,10.0,2.0,0.0,3,4,6.0,4,3,0,5,935.0,1,0.0,233.0,1168.0,5.0,5,1,5,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,8,0,0,6.0,1992.0,3,2.0,420.0,3,3,2,483,21,0,0,0,0,500,3,2010,6.0,185000,18,15,0,2355.0
23,2339,527250040,190,6.0,100.0,34650,2,4,1.0,3,1.0,3,14.0,6.0,5.0,1.0,5.0,5,5,1955,1955,4.0,1.0,6.0,5.0,2.0,0.0,3,3,4.0,3,3,2,3,1056.0,1,0.0,0.0,1056.0,5.0,3,0,5,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,8,0,0,6.0,1955.0,3,2.0,572.0,3,3,2,264,0,0,0,0,0,0,1,2006,6.0,145000,51,0,0,2112.0
24,624,535104120,20,6.0,92.0,10573,2,3,2.0,3,3.0,3,12.0,6.0,5.0,4.0,5.0,6,6,1961,1961,4.0,1.0,7.0,9.0,3.0,3.0,3,3,4.0,3,3,0,3,1312.0,1,0.0,141.0,1453.0,5.0,5,1,5,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,8,1,3,6.0,1961.0,2,2.0,530.0,3,3,2,0,49,0,0,288,0,0,4,2009,6.0,187500,48,0,0,2906.0
25,86,532376160,20,6.0,65.0,8450,2,4,2.0,3,1.0,3,9.0,3.0,5.0,4.0,5.0,5,8,1965,2009,3.0,1.0,7.0,9.0,2.0,0.0,3,4,4.0,3,3,0,6,553.0,4,117.0,224.0,894.0,5.0,5,1,5,894,0,0,894,1.0,0.0,1,0,3,1,3,5,8,1,4,3.0,1973.0,1,1.0,336.0,3,3,2,416,144,0,0,0,0,0,4,2010,6.0,138500,45,44,0,1788.0
26,1534,909277040,50,6.0,74.0,11700,2,3,4.0,3,1.0,2,20.0,6.0,5.0,4.0,2.0,5,6,1937,1995,3.0,1.0,8.0,6.0,2.0,0.0,3,3,4.0,3,3,0,4,606.0,1,0.0,336.0,942.0,5.0,5,1,5,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,6,1,4,3.0,1937.0,1,1.0,240.0,3,3,2,0,40,0,0,0,0,0,7,2008,6.0,198000,71,58,0,2880.0
27,2243,911103060,190,3.0,75.0,8250,2,4,2.0,3,1.0,3,2.0,4.0,5.0,1.0,7.0,5,6,1895,2006,3.0,1.0,13.0,14.0,2.0,0.0,3,4,4.0,3,3,0,1,0.0,1,0.0,957.0,957.0,5.0,2,0,5,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,8,0,0,2.0,1895.0,0,0.0,0.0,0,0,0,0,0,133,0,0,0,0,6,2007,6.0,119600,112,111,0,2948.0
28,1957,535450190,50,6.0,60.0,8064,2,4,2.0,3,3.0,3,12.0,1.0,5.0,4.0,2.0,5,7,1949,2006,3.0,1.0,7.0,9.0,2.0,0.0,3,4,4.0,3,3,2,1,0.0,1,0.0,672.0,672.0,5.0,5,1,5,672,252,0,924,0.0,0.0,1,0,3,1,3,6,8,1,1,3.0,2003.0,1,2.0,576.0,3,3,2,0,0,0,0,0,0,2000,7,2007,6.0,122900,58,57,0,1596.0
29,380,527355150,20,6.0,80.0,9600,2,4,2.0,3,1.0,3,17.0,8.0,5.0,4.0,5.0,8,5,1981,1981,4.0,5.0,11.0,12.0,2.0,0.0,4,3,6.0,4,3,0,5,1104.0,1,0.0,1420.0,2524.0,5.0,3,1,5,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,8,1,4,6.0,1981.0,3,2.0,542.0,3,3,2,474,120,0,0,0,0,0,7,2009,6.0,278000,28,0,0,5048.0
30,2860,909276010,70,6.0,73.0,11435,2,3,4.0,3,3.0,2,20.0,6.0,5.0,4.0,7.0,8,7,1929,1950,3.0,1.0,11.0,8.0,2.0,0.0,3,3,6.0,4,3,0,1,0.0,1,0.0,792.0,792.0,5.0,2,1,5,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,8,2,4,3.0,1931.0,1,2.0,400.0,3,3,2,0,0,0,0,0,0,0,6,2006,6.0,230000,77,21,0,2309.0
31,2517,533250130,120,6.0,30.0,9549,2,3,2.0,3,5.0,3,25.0,6.0,5.0,5.0,5.0,8,5,1995,1996,4.0,1.0,11.0,12.0,2.0,0.0,4,4,6.0,4,4,3,2,437.0,6,1057.0,0.0,1494.0,5.0,5,1,5,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,8,1,4,6.0,1995.0,3,2.0,481.0,3,3,2,0,30,0,0,216,0,0,4,2006,6.0,270000,11,1,1,2988.0
32,1933,535302070,20,6.0,60.0,10950,2,4,2.0,3,1.0,3,12.0,6.0,5.0,4.0,5.0,6,6,1952,1952,4.0,1.0,6.0,5.0,2.0,0.0,3,3,4.0,3,3,0,5,441.0,1,0.0,507.0,948.0,5.0,3,1,5,948,0,0,948,0.0,0.0,1,0,2,1,3,5,8,0,0,3.0,1952.0,1,2.0,410.0,3,3,0,0,48,0,0,0,0,0,4,2007,6.0,125000,55,0,0,1896.0
33,820,906340110,20,6.0,79.0,10637,2,4,2.0,3,1.0,3,18.0,6.0,5.0,4.0,5.0,8,5,2007,2008,4.0,1.0,13.0,14.0,5.0,336.0,4,3,6.0,5,3,4,6,1288.0,1,0.0,417.0,1705.0,5.0,5,1,5,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,8,1,4,6.0,2007.0,2,3.0,826.0,3,3,2,208,44,0,0,0,0,0,9,2009,6.0,297000,2,1,1,3423.0
34,675,535426150,20,6.0,80.0,9000,2,3,4.0,3,1.0,2,12.0,6.0,5.0,4.0,5.0,6,6,1958,1958,5.0,2.0,6.0,5.0,3.0,82.0,3,3,4.0,4,3,4,1,0.0,1,0.0,160.0,160.0,5.0,2,1,5,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,8,1,4,4.0,1958.0,2,1.0,384.0,3,3,2,0,28,64,0,0,0,0,4,2009,6.0,113500,51,0,0,1302.0
35,2910,923225240,160,4.0,41.0,2665,2,4,2.0,3,1.0,3,1.0,6.0,5.0,5.0,7.0,5,6,1977,1977,3.0,1.0,12.0,13.0,2.0,0.0,3,3,6.0,3,3,0,5,548.0,3,173.0,36.0,757.0,5.0,5,1,5,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,8,1,3,6.0,1977.0,2,1.0,336.0,3,3,2,104,26,0,0,0,0,0,7,2006,6.0,127000,29,0,0,2232.0
36,21,527358140,20,6.0,105.0,11751,2,3,2.0,3,1.0,3,17.0,6.0,5.0,4.0,5.0,6,6,1977,1977,4.0,1.0,10.0,11.0,3.0,480.0,3,3,4.0,4,3,0,4,705.0,1,0.0,1139.0,1844.0,5.0,5,1,5,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,8,1,3,6.0,1977.0,2,2.0,546.0,3,3,2,0,122,0,0,0,0,0,1,2010,4.0,190000,33,0,0,3688.0
